Release_Date,Title
2012-06-16,Blue Lagoon The Awakening
1985-04-25,The Return of the Living Dead
2010-10-02,Life As We Know It
2019-01-01,No Mercy
2008-09-25,Eagle Eye
2018-12-25,Checkered Ninja
2016-12-06,Collateral Beauty
2010-01-15,The Spy Next Door
2001-06-02,Atlantis The Lost Empire
1988-10-21,The Bear
2007-10-12,Elite Squad
1998-11-20,The Rugrats Movie
2006-01-26,Blood Diamond
2008-02-14,The Spiderwick Chronicles
2012-04-11,Battleship
2015-01-27,Justice League Throne of Atlantis
2005-08-03,Transporter 2
2016-10-20,Ouija Origin of Evil
2005-04-14,The Amityville Horror
1988-02-26,Bloodsport
2000-05-24,Mission Impossible II
1986-08-01,Friday the 13th Part VI Jason Lives
2004-02-10,Kung Fu Hustle
2021-09-29,Friendzone
2019-08-08,Scary Stories to Tell in the Dark
2016-07-27,Jason Bourne
2022-03-18,Deep Water
2011-10-21,La leyenda de la Llorona
2018-08-02,The Little Mermaid
2013-03-28,We Are the Nobles
2008-11-07,Role Models
2011-02-24,Drive Angry
2010-03-26,Nanny McPhee and the Big Bang
2019-10-24,Bayala A Magical Adventure
2014-10-08,The Judge
2017-06-23,Animal Crackers
2021-05-14,Ferry
2022-01-07,The Legend of La Llorona
2014-03-28,Sabotage
2017-06-15,Rough Night
1980-07-05,The Blue Lagoon
2018-08-16,Mile 22
2021-08-19,Reminiscence
2010-08-07,Titanic II
2022-01-28,The Grandmother
2015-02-04,It Follows
2013-06-27,Independence Daysaster
2008-08-22,Death Race
2009-05-01,Ghosts of Girlfriends Past
2005-09-09,The Exorcism of Emily Rose
2016-08-19,Kizumonogatari Part 2 Nekketsu
2013-03-05,The Marine 3 Homefront
2021-07-14,The Guide to the Perfect Family
2021-11-12,14 Peaks Nothing Is Impossible
2009-06-26,Evangelion 20 You Can (Not) Advance
2001-12-07,Ocean's Eleven
1995-07-04,Leprechaun 3
1978-10-24,Halloween
2014-10-03,Left Behind
2009-10-06,Splice
2016-03-22,Batman Bad Blood
2021-05-12,Oxygen
1988-07-23,Saint Seiya Legend of Crimson Youth
2021-09-02,Afterlife of the Party
2010-07-16,The Secret World of Arrietty
2013-09-04,About Time
2013-02-28,Stoker
2015-01-27,The Witch
2014-11-07,Skin Trade
2004-04-16,Kill Bill Vol 2
2020-09-01,The Boss Baby Get That Baby!
1988-03-30,Beetlejuice
1990-01-12,Leatherface The Texas Chainsaw Massacre III
2017-10-03,The Outlaws
1991-03-19,The Last Boy Scout
2005-09-09,Green Street Hooligans
2007-06-20,Live Free or Die Hard
2018-02-14,I Can Only Imagine
2015-07-17,Trainwreck
2009-09-29,Superman/Batman Public Enemies
2019-11-01,The Irishman
2007-03-13,Barbie Fairytopia Magic of the Rainbow
2007-11-21,Hitman
2020-10-07,Sky Sharks
2021-05-13,Finding You
2013-07-20,The Wind Rises
2012-09-13,Barbie The Princess & The Popstar
2008-10-16,Sex Drive
1991-07-31,Double Impact
1989-06-02,Dead Poets Society
2016-07-07,Star Trek Beyond
2021-04-09,Sugar Daddy
2003-06-27,Charlie's Angels Full Throttle
2006-01-26,Bambi II
2012-08-03,ParaNorman
2000-12-12,Batman Beyond Return of the Joker
2020-01-01,Invasion
2021-11-19,A House on the Bayou
2008-07-10,Journey to the Center of the Earth
1984-04-13,Friday the 13th The Final Chapter
2008-03-03,Horton Hears a Who!
2005-06-28,War of the Worlds
2017-03-06,How to Be a Latin Lover
1994-05-20,The Return of Jafar
1995-05-19,Die Hard With a Vengeance
2019-07-21,Lego DC Batman Family Matters
1962-10-07,Dr No
2020-01-08,Underwater
2010-06-03,High School
2010-02-04,From Paris with Love
2015-03-05,Superfast!
2017-09-29,The Ash Lad In the Hall of the Mountain King
2010-04-30,A Nightmare on Elm Street
2017-05-19,Time Trap
2016-10-05,The Girl on the Train
2018-10-25,Euphoria
2021-10-06,Fever Dream
1989-07-28,Friday the 13th Part VIII Jason Takes Manhattan
2013-09-14,"Love
2013-08-09,Planes
2021-03-12,Yes Day
2020-10-30,Spell
2020-08-27,The Owners
2017-06-17,The Irregular at Magic High School The Girl Who Summons the Stars
2014-09-05,Big Game
2014-02-28,Son of God
2004-12-08,Blade Trinity
2006-06-16,Nacho Libre
2016-02-12,The Last King
2018-11-03,Godzilla The Planet Eater
2022-03-10,The Contractor
2013-05-15,Epic
2021-12-02,Toys of Terror
2013-06-30,Assault on Wall Street
2019-06-19,Child's Play
2012-10-31,A Werewolf Boy
2007-06-29,The Secret of the Magic Gourd
2020-10-31,LEGO Hidden Side Night of the Harbinger
2016-04-07,Phantom of the Kill Zero's Rebellion
2008-06-11,The Happening
2020-11-06,461 Days of Bento A Promise Between Father and Son
1996-05-20,Aladdin and the King of Thieves
2019-01-28,Sweetheart
1995-09-22,The Return of the Texas Chainsaw Massacre
2016-08-27,Don't Kill It
2001-03-14,Enemy at the Gates
2010-10-15,Scooby-Doo! Curse of the Lake Monster
2012-03-10,Iron Sky
1985-11-01,A Nightmare on Elm Street Part 2 Freddy's Revenge
2008-06-05,You Don't Mess with the Zohan
2021-07-30,The Most Beautiful Boy in the World
2004-08-12,AVP Alien vs Predator
2021-01-22,The Sadness
2010-06-14,Unthinkable
2013-05-10,The Great Gatsby
2006-01-26,Big Momma's House 2
2020-08-21,The Unfamiliar
2011-11-24,Ice Age A Mammoth Christmas
2007-03-03,5 Centimeters per Second
2018-04-20,Inuyashiki
2018-03-02,Death Wish
2009-10-24,I Give My First Love to You
2016-11-12,In This Corner of the World
2017-03-24,Daytime Shooting Star
1981-01-21,The Howling
2003-12-05,The Last Samurai
2008-01-24,Meet the Spartans
1991-02-13,Paprika
2019-10-18,The Lighthouse
2004-08-26,Anacondas The Hunt for the Blood Orchid
2008-04-24,Outlander
2019-11-14,Charlie's Angels
2016-10-06,Mine
1982-01-11,"Love
2020-10-22,The Empty Man
2019-03-27,Dumbo
1963-10-10,From Russia with Love
1990-11-16,Rocky V
2021-12-05,The Tragedy of Macbeth
2010-12-04,Bleach the Movie Hell Verse
2021-09-16,Cry Macho
1993-07-16,Free Willy
2013-12-12,Odnoklassnikiru The Magic Laptop
1988-10-21,Halloween 4 The Return of Michael Myers
2012-03-29,Sinister
2002-03-22,Blade II
2021-11-19,C'mon C'mon
2005-03-17,The Ring Two
1999-11-19,Sleepy Hollow
2002-12-13,The Hot Chick
2020-02-20,Brahms The Boy II
2017-08-31,Escape Room
2004-04-15,The Punisher
1995-12-29,Twelve Monkeys
2002-11-17,Die Another Day
2000-09-13,Men of Honor
1980-05-20,The Empire Strikes Back
2017-03-31,Teen Titans The Judas Contract
2016-01-20,Lion
2006-08-10,Codename Kids Next Door - Operation ZERO
2019-08-16,Iron Mask
2007-06-06,Big Stan
2015-09-10,Everest
2014-10-24,Ouija
2010-06-16,A Serbian Film
2020-09-02,Antebellum
2021-08-25,Kimetsu no Yaiba Orchestra Concert
2013-11-23,Bayonetta Bloody Fate
2011-12-27,Hostel Part III
2008-05-09,The Babysitters
2019-01-09,The Dude in Me
2020-10-07,Books of Blood
2020-12-17,What Lies Below
2014-06-04,The Rover
1995-07-07,Species
2021-03-26,A Week Away
2014-10-14,The Loft
2019-08-14,Good Boys
2005-07-29,Semen Demon
2009-06-19,Transformers Revenge of the Fallen
2010-10-01,The Social Network
1978-08-03,Piranha
2010-09-24,The Virginity Hit
2003-08-08,SWAT
1994-04-07,Leprechaun 2
2013-10-23,The Protector 2
2019-10-24,21 Bridges
2008-09-11,Tinker Bell
1990-06-07,Lionheart
2014-08-12,Batman Assault on Arkham
2001-04-25,Amélie
2022-07-07,Thor Love and Thunder
2014-03-21,God's Not Dead
1960-06-22,Psycho
2020-11-12,Freaky
2012-09-14,The Paperboy
2017-11-07,I Believe
2021-05-12,Danny Boy
2017-08-14,Batman and Harley Quinn
2002-05-10,Unfaithful
2013-08-21,Young & Beautiful
2018-10-05,Anoko no Toriko
2000-11-02,Charlie's Angels
2012-10-04,Frankenweenie
2017-05-25,47 Meters Down
1984-06-22,The Karate Kid
2022-01-28,The Black Phone
1986-03-20,Police Academy 3 Back in Training
2021-09-08,JJ+E
2006-10-20,Night at the Museum
2004-04-23,Man on Fire
2003-04-11,Anger Management
1999-07-28,Deep Blue Sea
2019-03-26,Aquaman Heroines of Atlantis
2016-04-01,Garo Divine Flame
2018-01-16,12 Strong
2007-08-03,The Bourne Ultimatum
2020-09-11,The Boy from Medellín
2016-12-17,The Moment You Fall in Love
2007-11-23,[REC]
2014-03-08,Doraemon New Nobita's Great Demon – Peko and the Exploration Party of Five
2006-12-13,Arthur and the Invisibles
2011-10-12,A Monster in Paris
2019-07-19,Tokyo Ghoul 'S'
2018-10-26,The Nutcracker and the Four Realms
2014-02-26,The Grand Budapest Hotel
2018-05-31,Upgrade
2010-08-04,Step Up 3D
2021-06-17,Impossible Things
2016-05-13,Kill Command
2017-02-10,Below Her Mouth
2016-08-02,A Cinderella Story If the Shoe Fits
2005-05-03,Kingdom of Heaven
2015-04-16,Paul Blart Mall Cop 2
2014-01-15,Jack Ryan Shadow Recruit
2006-10-04,The Departed
2016-08-17,Ben-Hur
2009-03-13,Miss March
2009-02-07,Blood and Bone
2011-01-13,Gnomeo & Juliet
2015-02-26,Everly
2011-01-13,The Mechanic
1964-09-20,Goldfinger
2018-02-16,"Love
2017-06-23,The Beguiled
2013-07-11,Turbo
2001-07-13,Legally Blonde
2016-07-21,Lights Out
1990-05-25,Back to the Future Part III
1982-06-04,Poltergeist
2016-04-23,I Am a Hero
2002-11-03,Home Alone 4
2017-07-21,Girls Trip
2014-09-26,Playing It Cool
2020-10-02,The Binding
1998-05-20,Godzilla
2020-10-23,Haunting of the Mary Celeste
2020-02-20,Lassie Come Home
2001-06-11,Lara Croft Tomb Raider
2015-03-17,Avengers Grimm
1982-06-11,ET the Extra-Terrestrial
2017-10-12,Los perros
2017-07-26,Atomic Blonde
2012-05-15,The Dictator
2018-11-21,Robin Hood
2001-10-05,Training Day
2017-09-21,The Lego Ninjago Movie
2009-06-09,Baby on Board
2011-12-24,Pixie Hollow Games
1992-03-20,Basic Instinct
2017-10-03,Sniper Ultimate Kill
2017-02-01,Trinity Seven Eternity Library & Alchemic Girl
2017-12-18,Bleeding Steel
2007-08-31,Halloween
2021-10-14,A World For Julius
2015-02-20,The DUFF
2018-05-01,Tremors A Cold Day in Hell
2017-05-27,Resident Evil Vendetta
2004-08-06,The Princess Diaries 2 Royal Engagement
2011-08-17,The Skin I Live In
1987-07-17,RoboCop
2013-10-04,Curse of Chucky
2006-01-12,Underworld Evolution
2003-11-21,Oldboy
2006-05-09,Cashback
2018-01-06,"Love
2022-07-14,Bullet Train
1984-05-23,Once Upon a Time in America
2009-06-12,Seven Minutes
2001-07-04,Cats & Dogs
2020-02-12,To All the Boys PS I Still Love You
2014-04-26,Tamako Love Story
2021-10-22,Little Big Mouth
2018-04-19,I Feel Pretty
2020-10-14,The Three Deaths of Marisela Escobedo
2013-12-24,Lone Survivor
2017-11-03,Murder on the Orient Express
2013-02-01,Berserk The Golden Age Arc III - The Advent
2009-03-13,The Last House on the Left
1986-12-19,Platoon
1998-05-15,Quest for Camelot
2009-06-26,My Sister's Keeper
2007-05-22,Death Proof
1991-11-30,Sex and Zen
2020-01-16,The Heist of the Century
2017-08-21,Renegades
2002-06-06,Jack Black Spider-Man
2017-10-27,Let There Be Light
2018-12-25,On the Basis of Sex
1981-12-24,Mad Max 2
2018-07-25,The Darkest Minds
2013-01-18,Broken City
2010-12-23,Inazuma Eleven The Movie
2017-10-20,The Killing of a Sacred Deer
2004-04-09,Shaun of the Dead
2021-09-10,Blue Bayou
2013-03-07,Oz the Great and Powerful
2018-01-12,Batman Gotham by Gaslight
2015-03-15,Child 44
1988-05-13,Friday the 13th Part VII The New Blood
2004-01-16,Torque
2013-12-18,Walking with Dinosaurs
2021-06-07,Security
2018-02-13,Lego DC Comics Super Heroes The Flash
2019-05-26,Game of Thrones The Last Watch
1983-05-25,Return of the Jedi
2021-03-19,Happily
2016-11-11,Lady Bloodfight
2018-10-04,Constantine City of Demons - The Movie
2012-09-01,The Iceman
2021-01-29,Malcolm & Marie
1993-10-08,Demolition Man
2012-02-07,Puss in Boots The Three Diablos
1991-08-02,Return to the Blue Lagoon
2019-10-17,The Kill Team
1999-07-16,Eyes Wide Shut
2021-10-27,Passing
2011-03-25,Diary of a Wimpy Kid Rodrick Rules
2013-11-01,Euphoria
2014-08-12,TEKKEN Kazuya's Revenge
1997-03-21,Selena
2017-11-09,Paddington 2
2018-10-11,First Man
2008-02-14,Step Up 2 The Streets
2002-10-02,The Transporter
2004-04-13,13 Going on 30
2005-06-29,Fantastic Four
2020-10-29,A Gruta
1994-07-01,Baby's Day Out
1991-11-21,An American Tail Fievel Goes West
1982-08-13,Friday the 13th Part III
2015-11-01,The Peanuts Movie
2006-06-23,Click
2018-07-27,Teen Titans Go! To the Movies
2017-06-01,Captain Underpants The First Epic Movie
2017-04-21,Sand Castle
2022-03-31,The Northman
2018-11-13,Instant Family
2010-06-04,Killers
1992-11-13,Bram Stoker's Dracula
2007-03-22,The Hills Have Eyes 2
2018-02-07,Peter Rabbit
1978-09-06,Dr Strange
2019-12-20,Togo
1998-06-04,The Truman Show
2016-11-18,The Edge of Seventeen
2021-08-12,Lamb
2009-01-22,Underworld Rise of the Lycans
2017-09-22,Only the Brave
2020-02-26,The Invisible Man
1990-06-22,RoboCop 2
2006-05-03,Mission Impossible III
2014-10-23,Stonehearst Asylum
2012-07-26,Step Up Revolution
1982-06-25,The Thing
2006-05-17,Over the Hedge
2016-02-04,Robinson Crusoe
2016-09-22,USS Indianapolis Men of Courage
1999-09-17,Blue Streak
2007-04-20,Vacancy
2008-07-15,Batman Unmasked The Psychology of the Dark Knight
2005-04-27,xXx State of the Union
2017-10-13,Professor Marston and the Wonder Women
2005-01-14,Coach Carter
2017-09-08,Lady Bird
2015-08-28,The Wave
2019-04-27,The Big Trip
2013-02-21,Dark Skies
2010-12-21,Little Fockers
2018-01-11,The Commuter
2011-10-24,The Adventures of Tintin
1995-11-16,GoldenEye
2010-07-30,Charlie St Cloud
1995-07-19,Clueless
2002-06-14,The Bourne Identity
1971-08-26,Die goldene Banane von Bad Porno
2006-10-22,Flushed Away
2014-11-26,Horrible Bosses 2
2009-11-06,The Fourth Kind
2021-07-23,The Last Letter From Your Lover
2020-03-11,The Hunt
2021-07-23,The Cover
2005-09-16,Scars
1994-11-11,Interview with the Vampire
2012-03-09,The Raven
2019-03-31,Batman vs Teenage Mutant Ninja Turtles
2015-09-11,90 Minutes in Heaven
2022-01-11,Run and Gun
2002-02-05,The Hunchback of Notre Dame II
2004-07-10,A Cinderella Story
1991-04-10,Hook
2009-08-28,Wizards of Waverly Place The Movie
1957-04-10,12 Angry Men
2008-12-11,Inkheart
2022-03-08,The Girl on the Mountain
2008-09-12,Eden Lake
2009-07-28,Green Lantern First Flight
2013-02-07,Identity Thief
1990-07-12,Ghost
2020-09-10,Run Hide Fight
2007-04-26,28 Weeks Later
2006-10-19,The Prestige
2018-03-22,Midnight Sun
2000-06-09,Gone in Sixty Seconds
2016-11-10,Fallen
2017-12-01,The Shape of Water
2008-02-11,Ben 10 Race Against Time
2017-11-09,Daddy's Home 2
2014-05-22,The Babadook
2001-11-02,The One
2018-11-29,The Possession of Hannah Grace
2015-04-16,The Age of Adaline
2020-09-01,The Haunting of Margam Castle
1965-12-11,Thunderball
2017-08-03,Wind River
2019-04-12,The Perfect Date
1986-03-07,Highlander
1994-12-16,Dumb and Dumber
2017-04-27,Bāhubali 2 The Conclusion
1987-08-21,Dirty Dancing
2020-04-24,Be Careful What You Wish For
2020-10-09,Dogwashers
2019-06-19,Anna
2017-10-27,Mazinger Z Infinity
2011-09-13,Never Back Down 2 The Beatdown
2014-12-19,Annie
2017-05-18,"Everything
2016-05-04,Neighbors 2 Sorority Rising
1988-03-12,Saint Seiya The Heated Battle of the Gods
2018-08-10,Slender Man
2017-05-12,The Wall
2021-05-07,Mainstream
2016-05-13,Last Days in the Desert
2017-09-29,A Question of Faith
2018-10-12,Look Away
2018-12-13,Mary Poppins Returns
2015-11-05,The Escort
2015-09-12,Hardcore Henry
1991-08-23,Showdown in Little Tokyo
2013-04-27,Welcome to the Jungle
2016-10-14,Max Steel
1993-09-23,Dragon Ball Z Side Story Plan to Eradicate the Saiyans
1993-06-18,Last Action Hero
1967-06-13,You Only Live Twice
2021-02-25,Locked Down
2015-11-06,Cosmic Scrat-tastrophe
2001-08-11,X-Men The Mutant Watch
2002-07-19,The Cat Returns
2003-07-11,The League of Extraordinary Gentlemen
2020-12-04,Nomadland
2010-11-11,Dragon Ball Plan to Eradicate the Super Saiyans
2009-02-07,Gifted Hands The Ben Carson Story
2002-04-18,The Scorpion King
2013-01-29,Madly Madagascar
2019-08-23,Burn
2004-07-22,Catwoman
2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull
2007-05-20,The Orphanage
2016-07-08,Big Fish & Begonia
2003-12-12,Love Don't Co$t a Thing
2015-08-13,The Man from UNCLE
1989-11-22,Back to the Future Part II
2004-07-23,The Bourne Supremacy
2017-06-16,Kidnap
2002-08-09,xXx
2020-12-15,Heks
1968-12-21,Once Upon a Time in the West
2019-05-09,Brightburn
2001-09-01,Cowboy Bebop The Movie
2022-07-27,DC League of Super-Pets
1963-06-12,Cleopatra
2017-02-15,A Cure for Wellness
2015-12-18,Mojin The Lost Legend
2021-12-16,South Park Post COVID The Return of COVID
2020-10-25,Originless
2017-10-26,Monster Family
2021-04-21,Don't Kill Me
2018-10-01,Reaching Distance
2006-02-17,Date Movie
2020-01-23,The Last Full Measure
1992-07-04,Police Story 3 Super Cop
2019-12-19,Pinocchio
2018-02-16,Z-O-M-B-I-E-S
2021-07-23,Kingdom Ashin of the North
2013-12-18,The Secret Life of Walter Mitty
1986-06-18,The Karate Kid Part II
2016-04-23,I've Always Liked You
2016-11-23,Moana
2021-12-02,Last Looks
2013-10-09,Escape Plan
2019-09-28,Marriage Story
2012-09-20,The Perks of Being a Wallflower
2004-03-06,One Piece Curse of the Sacred Sword
2016-02-04,Pride and Prejudice and Zombies
2016-09-03,Kuroko no Basket Movie 1 Winter Cup Soushuuhen - Kage to Hikari
2013-04-10,Oblivion
2013-04-13,HK Forbidden Super Hero
2019-01-01,Nothing to Lose - Part 2
2009-03-20,"I Love You
2020-06-24,Bulbbul
2021-09-15,Schumacher
2018-10-23,The Scorpion King Book of Souls
2016-11-12,Museum
2010-12-03,Black Swan
2008-08-05,Star Wars The Clone Wars
2005-06-13,Tarzan II
2013-12-05,Love Lesson
2014-08-05,Mercenaries
2020-10-23,All My Life
2020-09-11,The Devil All the Time
2018-08-23,A-X-L
2012-02-05,The Vow
1988-06-29,Coming to America
1982-04-02,Conan the Barbarian
2016-10-13,The Accountant
2012-05-21,After Porn Ends
1997-09-26,The Peacemaker
2011-07-08,Horrible Bosses
2018-11-25,Mowgli Legend of the Jungle
2000-11-22,Unbreakable
2014-11-26,The Theory of Everything
2014-09-27,My Little Pony Equestria Girls - Rainbow Rocks
2001-02-18,Lady and the Tramp II Scamp's Adventure
2006-02-10,Curious George
2012-03-07,A Thousand Words
2004-11-30,Spider-Man 2 Making the Amazing
2019-10-02,Crazy Romance
2017-06-19,You Get Me
2013-04-03,App
2016-01-01,Sherlock The Abominable Bride
2013-10-22,Jackass Presents Bad Grandpa
2017-05-20,Blame!
2008-02-26,Justice League The New Frontier
1963-06-19,Jason and the Argonauts
2010-08-31,The American
2009-09-15,[REC]²
2015-07-16,Monster Hunt
2008-08-28,College
2010-09-14,Scooby-Doo! Camp Scare
2018-03-14,Ghostland
2008-11-07,Private Valentine Blonde & Dangerous
2021-07-15,A Perfect Fit
2013-08-08,Lovelace
2014-12-13,Blue Spring Ride
1962-06-21,Lolita
2012-03-31,Blood Money
2011-03-05,Doraemon Nobita and the New Steel Troops ~Winged Angels~
2015-08-31,Curve
2021-03-12,Sweat
2011-03-02,One Day
2010-02-02,Planet Hulk
2011-12-08,New Year's Eve
2018-01-26,Forever My Girl
2017-12-01,"Three Billboards Outside Ebbing
2016-09-30,Operation Mekong
2013-08-07,Teen Beach Movie
2015-09-04,Huevos Little Rooster's Egg-Cellent Adventure
2010-01-10,The Simpsons 20th Anniversary Special - In 3D! On Ice!
1991-03-29,Career Opportunities
2013-08-07,We're the Millers
1998-07-10,Lethal Weapon 4
1994-07-18,The Next Karate Kid
2021-07-02,Till Death
2014-10-18,Big Driver
2013-09-08,The Green Inferno
1960-10-13,Spartacus
2017-03-04,Doraemon Nobita's Great Adventure in the Antarctic Kachi Kochi
2000-01-28,Cheeky
2012-03-03,Doraemon Nobita and the Island of Miracles ~Animal Adventure~
2003-05-30,The Italian Job
2017-08-18,American Made
2021-07-05,Shark Beach With Chris Hemsworth
2017-12-20,Pitch Perfect 3
2017-10-19,The Last Warrior
2010-02-09,Dante's Inferno An Animated Epic
2011-10-12,The Thing
2021-07-25,The Father Who Moves Mountains
2017-10-05,My Little Pony The Movie
1994-05-11,The Crow
2014-11-13,Clown
1998-10-02,Antz
1999-08-06,The Sixth Sense
2020-06-18,You Should Have Left
2000-06-28,The Patriot
2018-08-01,Along with the Gods The Last 49 Days
2016-07-27,Operation Chromite
2005-07-29,Sky High
2019-03-14,Us
2015-12-25,The Hateful Eight
2017-11-24,Singularity
2016-11-29,La La Land
2016-10-15,Terrifier
2013-02-14,Barbie in the Pink Shoes
1974-06-25,Emmanuelle
2006-07-28,The Ant Bully
2020-12-14,Army of One
2019-10-04,Wonder Woman Bloodlines
2015-12-03,Point Break
2010-07-13,The Sorcerer's Apprentice
1985-03-22,Friday the 13th A New Beginning
2010-05-13,Letters to Juliet
2007-12-13,National Treasure Book of Secrets
2001-10-09,Scooby-Doo! and the Cyber Chase
1962-12-11,Lawrence of Arabia
2013-12-18,Her
2018-09-13,Johnny English Strikes Again
2009-08-13,Case 39
2010-12-23,Gulliver's Travels
2004-12-15,Million Dollar Baby
1996-03-04,Dragon Ball The Path to Power
2016-03-10,10 Cloverfield Lane
1988-06-17,Red Heat
2019-08-30,Uncut Gems
2005-11-03,The Nun
2018-09-30,Believe Me The Abduction of Lisa McVey
2023-05-03,Guardians of the Galaxy Vol 3
2018-11-01,Overlord
2005-09-10,Brokeback Mountain
2021-10-22,Warning
2012-09-21,Trouble with the Curve
1949-12-21,Samson and Delilah
2017-03-22,Life
2011-09-30,What's Your Number?
2004-01-02,American Pie Revealed
2020-06-24,The Outpost
2017-10-11,The Ritual
2016-10-07,A Monster Calls
2003-05-09,The Animatrix
1993-06-21,Battle Angel
2022-03-08,Taylor Tomlinson Look at You
2005-06-22,Herbie Fully Loaded
2005-03-04,The Pacifier
2016-09-07,Sully
2018-09-21,Apostle
2018-10-19,Magical Girl Lyrical Nanoha Detonation
2006-01-20,High School Musical
2003-03-07,Tears of the Sun
2003-02-25,Atlantis Milo's Return
2015-04-05,Killing Jesus
2016-05-28,Wolf Girl and Black Prince
2009-07-09,The Collector
2016-06-27,Nerve
2020-11-12,The Comeback Trail
2015-12-20,One Piece Adventure of Nebulandia
2014-01-30,RoboCop
2012-01-23,Bachelorette
1995-06-30,Judge Dredd
2016-07-14,Hard Target 2
2017-07-09,Dragonheart Battle for the Heartfire
2005-12-06,Memoirs of a Geisha
2020-08-23,Superman Man of Tomorrow
2020-12-13,Promising Young Woman
1981-08-21,Private Lessons
2003-06-14,Bare Sex
2005-12-13,Scooby-Doo! in Where's My Mummy?
2019-05-09,The Hustle
2013-07-12,Killing Season
2014-07-16,Step Up All In
2010-02-23,Justice League Crisis on Two Earths
2014-09-06,Song of the Sea
2008-02-08,In Bruges
2017-10-05,The Mountain Between Us
1992-07-10,Universal Soldier
2004-06-17,The Terminal
1986-12-20,Dragon Ball Curse of the Blood Rubies
2003-12-24,Cheaper by the Dozen
2013-03-07,Vehicle 19
2002-02-05,City of God
2019-05-01,UglyDolls
2011-09-09,The Descendants
1984-03-09,Children of the Corn
2008-10-11,High School Musical 3 Senior Year
2020-12-01,Angela's Christmas Wish
2016-06-18,Sadako vs Kayako
2008-03-27,21
2010-01-11,The Book of Eli
2018-11-16,Welcome Home
1992-05-22,Alien³
2016-01-15,Barbie Spy Squad
1992-09-02,Reservoir Dogs
2018-07-09,Mamma Mia! Here We Go Again
2018-01-26,Kickboxer Retaliation
1973-12-01,Fantastic Planet
2019-09-22,Fractured
2004-02-01,Megalodon
2016-12-09,Spectral
2008-05-29,The Strangers
2021-02-12,The World to Come
2011-02-25,Hall Pass
2005-04-01,Sin City
2021-06-04,Ama
1997-06-05,Con Air
2018-08-02,Christopher Robin
2005-03-05,One Piece Baron Omatsuri and the Secret Island
2017-03-02,Before I Fall
2005-09-16,Lord of War
2003-10-29,Luther
1999-11-17,The World Is Not Enough
2013-07-18,The World's End
2021-06-10,In the Heights
1981-07-17,Endless Love
2006-08-04,Barnyard
2012-08-02,Diary of a Wimpy Kid Dog Days
1995-04-26,Friday
2018-09-21,Assassination Nation
2009-09-12,Scooby-Doo! The Mystery Begins
2016-07-08,Captain Fantastic
2002-10-25,Ghost Ship
2014-06-10,Age of Tomorrow
1996-06-07,The Rock
2018-11-30,Mobile Suit Gundam Narrative
1978-11-15,The Lord of the Rings
2008-02-09,L change the WorLd
2008-03-01,"One Piece Episode of Chopper Plus Bloom in the Winter
2011-09-27,Batman Year One
2019-06-28,The Other Side of Heaven 2 Fire of Faith
2011-04-29,Hoodwinked Too! Hood VS Evil
2020-02-12,The Lost Prince
2012-09-06,Stolen
2021-10-28,Freaks Out
2016-12-29,Viking
1999-03-12,Wishmaster 2 Evil Never Dies
2021-03-25,Caught by a Wave
1978-09-29,Death on the Nile
2019-05-25,Murder Mystery
1992-03-07,Doraemon Nobita and the Kingdom of Clouds
2005-07-21,The Island
2004-02-13,50 First Dates
1987-02-17,The Running Man
2002-02-22,Dragonfly
2014-01-24,The Monuments Men
2009-10-14,The Descent Part 2
2014-10-17,Birdman or (The Unexpected Virtue of Ignorance)
2002-05-22,Irreversible
2015-09-01,Regular Show The Movie
1987-10-02,Near Dark
2021-08-27,Megalodon Rising
2022-02-17,Jeepers Creepers Reborn
2021-02-12,A Writer's Odyssey
2012-11-17,Evangelion 30 You Can (Not) Redo
1978-10-05,Drunken Master
1998-02-27,Dark City
2016-06-01,The Handmaiden
2015-12-25,Daddy's Home
1993-08-20,Hard Target
2011-03-11,Red Riding Hood
2018-11-23,The Favourite
2017-01-16,CHiPS
2017-07-11,Camp Cool Kids
1994-10-13,New Nightmare
1999-06-29,Wild Wild West
2015-11-20,In the Heart of the Sea
2008-11-12,Slumdog Millionaire
2021-05-14,The Woman in the Window
2007-09-01,Evangelion 10 You Are (Not) Alone
1985-10-03,Commando
1995-04-16,Joseph
2022-02-25,The Last Mark
2006-09-29,Open Season
2009-02-24,Barbie Presents Thumbelina
2000-09-01,Snatch
1993-02-11,Groundhog Day
2020-11-17,The Lego Star Wars Holiday Special
2004-11-19,National Treasure
2007-11-02,American Gangster
2012-02-08,Fucking Different XXX
2015-10-15,Momentum
2021-06-25,Jurassic World Dominion - Prologue
2012-01-13,Man on a Ledge
2015-03-10,The Man with the Iron Fists 2
2017-08-29,Bring It On Worldwide #Cheersmack
2001-01-01,Talk Sex
2014-04-22,Brick Mansions
2007-10-31,The Legend of the Nahuala
1986-08-08,Stand by Me
2010-02-10,Valentine's Day
2010-09-24,You Again
2013-09-20,Witching & Bitching
2012-10-10,Silent Hill Revelation 3D
1993-07-16,Hocus Pocus
2020-10-01,2067
2015-07-29,The Little Prince
1961-12-13,West Side Story
2016-07-07,Mike and Dave Need Wedding Dates
2016-12-12,Patriots Day
2016-02-02,The Black Devil and the White Prince
2018-12-11,Leprechaun Returns
1982-07-09,Tron
2018-06-05,The Debt Collector
